Check ID,Status,Severity,Weight,Details,Remediation,Timestamp
2.1.2,ERROR,CRITICAL,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Set securityContext.privileged=false in all pod/container specs.,2026-01-13T20:50:46+05:00
5.2.2,ERROR,HIGH,2,"failed to list pods: Get ""https://127.0.0.1:26443/api/v1/pods"": dial tcp 127.0.0.1:26443: connect: connection refused","Ensure Pod Security Standards are properly configured and enforced. Pods should not run as root, use privileged mode, or allow privilege escalation.",2026-01-13T20:50:46+05:00
2.1.5,ERROR,HIGH,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Set securityContext.readOnlyRootFilesystem=true for all containers.,2026-01-13T20:50:46+05:00
1.2.12,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --tls-min-version=VersionTLS12,2026-01-13T20:50:46+05:00
2.1.3,ERROR,CRITICAL,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Avoid using hostPath volumes unless absolutely necessary.,2026-01-13T20:50:46+05:00
2.2.1,ERROR,WARN,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Define CPU/memory requests and limits in pod specs.,2026-01-13T20:50:46+05:00
2.1.8,ERROR,CRITICAL,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Set securityContext.allowPrivilegeEscalation=false for all containers.,2026-01-13T20:50:46+05:00
4.1.1,ERROR,HIGH,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Create default-deny NetworkPolicies for all namespaces. Also configure ResourceQuotas and LimitRanges for proper namespace isolation.,2026-01-13T20:50:46+05:00
4.1.2,ERROR,HIGH,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Create NetworkPolicies to cover all pods in the cluster. Ensure podSelector matches pod labels.,2026-01-13T20:50:46+05:00
2.1.1,ERROR,CRITICAL,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Set securityContext.runAsNonRoot=true for all containers and avoid runAsUser=0.,2026-01-13T20:50:46+05:00
1.1.1,ERROR,CRITICAL,2,"failed to list ClusterRoles: Get ""https://127.0.0.1:26443/apis/rbac.authorization.k8s.io/v1/clusterroles"": dial tcp 127.0.0.1:26443: connect: connection refused",Avoid giving '*' verbs/resources to cluster-admin or any other roles. Review all ClusterRoles and Roles for wildcard privileges.,2026-01-13T20:50:46+05:00
2.2.2,ERROR,WARN,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Use a dedicated ServiceAccount for each application.,2026-01-13T20:50:46+05:00
4.2.1,ERROR,MEDIUM,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Create ResourceQuotas and LimitRanges for all namespaces to prevent resource exhaustion.,2026-01-13T20:50:46+05:00
1.2.11,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --tls-cipher-suites to strong cipher suites,2026-01-13T20:50:46+05:00
2.2.4,ERROR,MEDIUM,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Configure readinessProbe for all containers to ensure traffic is only sent to ready pods.,2026-01-13T20:50:47+05:00
2.2.3,ERROR,MEDIUM,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Configure livenessProbe for all containers to detect and restart unhealthy containers.,2026-01-13T20:50:47+05:00
2.1.6,ERROR,HIGH,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused","Drop ALL capabilities and add only required ones. Avoid adding dangerous capabilities like SYS_ADMIN, NET_ADMIN.",2026-01-13T20:50:47+05:00
2.1.7,ERROR,CRITICAL,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Use secretKeyRef or mounted secrets instead of plain environment variables for sensitive data.,2026-01-13T20:50:47+05:00
1.2.9,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --service-account-lookup=true,2026-01-13T20:50:47+05:00
2.1.4,ERROR,MEDIUM,1,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Set imagePullPolicy to 'IfNotPresent' or 'Never' instead of 'Always' to prevent unnecessary image pulls.,2026-01-13T20:50:48+05:00
5.2.1,ERROR,HIGH,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Add pod-security.kubernetes.io/enforce label to namespaces with value 'restricted' or 'baseline'. Example: kubectl label namespace <namespace> pod-security.kubernetes.io/enforce=restricted,2026-01-13T20:50:48+05:00
1.2.10,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --enable-bootstrap-token-auth=false,2026-01-13T20:50:48+05:00
1.2.3,ERROR,CRITICAL,3,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and ensure --authorization-mode includes Node,2026-01-13T20:50:48+05:00
1.2.1,ERROR,CRITICAL,3,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --anonymous-auth=false,2026-01-13T20:50:48+05:00
1.2.8,ERROR,MEDIUM,1,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --request-timeout=300s,2026-01-13T20:50:49+05:00
1.1.20,ERROR,CRITICAL,3,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Configure etcd encryption at rest using --encryption-provider-config flag. See: https://kubernetes.io/docs/tasks/administer-cluster/encrypt-data/,2026-01-13T20:50:49+05:00
1.2.2,ERROR,CRITICAL,3,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused","Edit the API server pod specification file and set --authorization-mode to Node,RBAC",2026-01-13T20:50:49+05:00
1.1.8,ERROR,HIGH,2,"failed to list namespaces: Get ""https://127.0.0.1:26443/api/v1/namespaces"": dial tcp 127.0.0.1:26443: connect: connection refused",Review ServiceAccount bindings and remove cluster-admin bindings. Use least privilege roles for ServiceAccounts.,2026-01-13T20:50:49+05:00
1.2.5,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --audit-log-maxage=30,2026-01-13T20:50:49+05:00
1.2.7,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --audit-log-maxsize=100,2026-01-13T20:50:50+05:00
1.2.6,ERROR,HIGH,2,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and set --audit-log-maxbackup=10,2026-01-13T20:50:50+05:00
1.2.4,ERROR,CRITICAL,3,"failed to list API server pods: Get ""https://127.0.0.1:26443/api/v1/namespaces/kube-system/pods?labelSelector=component%3Dkube-apiserver"": dial tcp 127.0.0.1:26443: connect: connection refused",Edit the API server pod specification file and ensure --authorization-mode includes RBAC,2026-01-13T20:50:50+05:00
